                              Drapiezniki                Roslinozerne                Wszystkozerne
Po roku 253:               417                             893                                15
Po roku 254:               415                             891                                15
Po roku 255:               412                             889                                15
Po roku 256:               410                             886                                15
Po roku 257:               409                             883                                15
Po roku 258:               406                             882                                15
Po roku 259:               405                             882                                15
Po roku 260:               404                             881                                15
Po roku 261:               403                             880                                14
Po roku 262:               402                             878                                13
Po roku 263:               399                             874                                12
Po roku 264:               395                             870                                12
Po roku 265:               392                             869                                12
Po roku 266:               387                             867                                10
Po roku 267:               386                             865                                10
Po roku 268:               385                             863                                10
Po roku 269:               385                             861                                10
Po roku 270:               384                             861                                9
Po roku 271:               383                             856                                9
Po roku 272:               383                             853                                9
Po roku 273:               380                             850                                9
Po roku 274:               376                             846                                9
Po roku 275:               375                             845                                9
Po roku 276:               373                             842                                9
Po roku 277:               373                             840                                9
Po roku 278:               371                             839                                9
Po roku 279:               371                             836                                8
Po roku 280:               371                             835                                8
Po roku 281:               369                             834                                8
Po roku 282:               368                             830                                8
Po roku 283:               367                             826                                8
Po roku 284:               367                             822                                8
Po roku 285:               367                             821                                8
Po roku 286:               365                             817                                8
Po roku 287:               359                             815                                7
Po roku 288:               357                             813                                7
Po roku 289:               356                             812                                7
Po roku 290:               355                             809                                7
Po roku 291:               354                             804                                7
Po roku 292:               352                             802                                7
Po roku 293:               352                             801                                7
Po roku 294:               349                             797                                7
Po roku 295:               347                             794                                7
Po roku 296:               342                             787                                7
Po roku 297:               342                             784                                7
Po roku 298:               338                             781                                6
Po roku 299:               336                             780                                6
Po roku 300:               334                             777                                6
Po roku 301:               332                             773                                6
Po roku 302:               332                             769                                6
Po roku 303:               329                             765                                6
Po roku 304:               328                             765                                5
Po roku 305:               327                             765                                5
Po roku 306:               326                             761                                5
Po roku 307:               325                             757                                5
Po roku 308:               323                             757                                5
Po roku 309:               322                             755                                5
Po roku 310:               322                             752                                5
Po roku 311:               322                             751                                5
Po roku 312:               322                             749                                5
Po roku 313:               319                             743                                5
Po roku 314:               318                             742                                5
Po roku 315:               314                             741                                5
Po roku 316:               313                             737                                5
Po roku 317:               309                             733                                5
Po roku 318:               308                             731                                5
Po roku 319:               303                             726                                5
Po roku 320:               302                             723                                5
